id,name,sector,state,contractor,implementingAgency,ministry,startDate,sanctioned_cost_cr,physical_progress,planned_progress,progress_diff,expenditure_ratio,land_acq_delay_months,geo_difficulty,monsoon_flood_risk,utility_shifting_progress,contractor_liquidity,metrology_compliance_burden,weighbridge_calibration_gap_days,gatc_test_centre_lead_days,packaged_commodities_audit_risk,jan_vishwas_relief_index,delay_days,status,label,confidence_score,confidence_pct,is_synthetic,data_source
SYN-URBN-LAK-PKG-11C,[SYNTHETIC] Lakshadweep Metro Rail Elevated Rapid Transit Line (Pkg 11C),Urban Development,Lakshadweep,Reliance Infra - Astaldi JV,UPMRC,Ministry of Housing & Urban Affairs,2018-06-24,3420.8,70.7,76.3,-5.6,1.248,2,0.58,0.798,50.0,1.25,0.726,28.6,61.9,0.596,0.0,67,moderate,1,80.7,80.7,True,SYNTHETIC
SYN-HWAY-HIM-PKG-12D,[SYNTHETIC] Himachal Pradesh 4-Lane Ring Road Bypass (Pkg 12D),Highways,Himachal Pradesh,Tata Projects,NHAI,Ministry of Road Transport and Highways,2018-06-25,3236.2,74.1,80.5,-6.4,1.209,2,0.82,0.791,71.6,1.4,0.694,24.9,56.2,0.482,0.0,82,moderate,1,84.1,84.1,True,SYNTHETIC
SYN-HWAY-CHA-PKG-13E,[SYNTHETIC] Chandigarh Strategic Border Highway NH-Pass (Pkg 13E),Highways,Chandigarh,Afcons Infrastructure,BRO,Ministry of Road Transport and Highways,2018-06-29,3628.9,33.8,35.7,-1.9,1.052,2,0.297,0.319,77.4,1.78,0.731,25.9,68.4,0.467,0.0,22,on_track,0,89.2,89.2,True,SYNTHETIC
SYN-POWR-AND-PKG-14F,[SYNTHETIC] Andaman & Nicobar Gas-Insulated GIS Substation Node (Pkg 14F),Power,Andaman & Nicobar,Kalpataru Power Transmission,NTPC,Ministry of Power,2018-07-07,4994.0,61.6,63.4,-1.8,1.049,0,0.754,0.839,93.2,1.35,0.722,27.7,64.9,0.32,0.0,24,on_track,0,98.0,98.0,True,SYNTHETIC
SYN-WATR-JHA-PKG-15G,[SYNTHETIC] Jharkhand Jal Jeevan Mission Bulk Water Pipeline (Pkg 15G),Water,Jharkhand,Patel Engineering,State Water Resource Dept,Ministry of Jal Shakti,2018-07-14,4637.1,72.8,69.8,3.0,1.027,2,0.717,0.612,99.2,1.63,0.705,48.3,74.4,0.217,0.0,21,on_track,0,96.8,96.8,True,SYNTHETIC
SYN-WATR-RAJ-PKG-16H,[SYNTHETIC] Rajasthan Multi-Purpose Barrage & Canal Network (Pkg 16H),Water,Rajasthan,Vishwa Infrastructures,WAPCOS,Ministry of Jal Shakti,2018-07-14,4805.1,70.5,76.6,-6.1,1.137,12,0.346,0.203,58.3,1.08,0.624,34.1,68.4,0.326,0.0,42,moderate,1,83.4,83.4,True,SYNTHETIC
SYN-TELC-MAD-PKG-17A,[SYNTHETIC] Madhya Pradesh Strategic Submarine OFC Coastal Terminal (Pkg 17A),Telecom,Madhya Pradesh,TCIL,TCIL,Ministry of Communications,2018-07-22,284.5,49.9,84.6,-34.7,1.75,24,0.483,0.486,32.4,0.92,0.498,12.5,63.0,0.28,0.0,244,critical,2,80.7,80.7,True,SYNTHETIC
SYN-HWAY-GUJ-PKG-18B,[SYNTHETIC] Gujarat Multi-Span Elevated Viaduct Stretch (Pkg 18B),Highways,Gujarat,IRB Infrastructure,State PWD Highways,Ministry of Road Transport and Highways,2018-07-27,3944.6,61.2,69.4,-8.2,1.216,2,0.276,0.554,65.9,1.32,0.677,48.1,60.1,0.377,0.0,74,moderate,1,88.4,88.4,True,SYNTHETIC
SYN-RLWY-SIK-PKG-19C,[SYNTHETIC] Sikkim Dedicated Freight Corridor Section (Pkg 19C),Railways,Sikkim,Ircon International,IRCON,Ministry of Railways,2018-07-29,4220.2,26.1,35.0,-8.9,1.172,12,0.934,0.844,59.2,1.31,0.749,47.9,55.9,0.457,0.0,51,moderate,1,79.9,79.9,True,SYNTHETIC
SYN-POWR-MAD-PKG-20D,[SYNTHETIC] Madhya Pradesh Run-of-River Hydroelectric Spillway (Pkg 20D),Power,Madhya Pradesh,BHEL,NHPC,Ministry of Power,2018-08-05,3947.9,71.3,72.3,-1.0,1.011,0,0.468,0.486,82.0,1.88,0.609,32.6,63.3,0.4,0.0,19,on_track,0,85.4,85.4,True,SYNTHETIC
SYN-POWR-KAR-PKG-21E,[SYNTHETIC] Karnataka Run-of-River Hydroelectric Spillway (Pkg 21E),Power,Karnataka,Sterlite Power,NHPC,Ministry of Power,2018-08-15,4003.2,56.4,68.5,-12.1,1.324,6,0.52,0.667,46.7,1.2,0.643,18.2,65.4,0.438,0.0,129,high_risk,2,75.6,75.6,True,SYNTHETIC
SYN-WATR-WES-PKG-22F,[SYNTHETIC] West Bengal Lift Irrigation Distribution System (Pkg 22F),Water,West Bengal,Megha Engineering (MEIL),State Water Resource Dept,Ministry of Jal Shakti,2018-08-22,3996.9,36.3,67.1,-30.8,1.84,18,0.358,0.808,43.7,0.7,0.646,42.9,64.9,0.279,0.0,423,critical,2,82.2,82.2,True,SYNTHETIC
SYN-URBN-RAJ-PKG-23G,[SYNTHETIC] Rajasthan Flyover Grade Separator Complex (Pkg 23G),Urban Development,Rajasthan,ITD Cementation,Smart City SPV,Ministry of Housing & Urban Affairs,2018-08-22,1792.2,34.5,41.1,-6.6,1.24,2,0.243,0.203,68.0,1.25,0.644,34.4,72.9,0.576,0.0,55,moderate,1,80.4,80.4,True,SYNTHETIC
SYN-HWAY-MAH-PKG-24H,[SYNTHETIC] Maharashtra 4-Lane Ring Road Bypass (Pkg 24H),Highways,Maharashtra,Afcons Infrastructure,BRO,Ministry of Road Transport and Highways,2018-08-26,5080.2,41.8,75.4,-33.6,1.813,24,0.522,0.759,19.8,0.59,0.668,45.8,56.3,0.488,0.0,533,critical,2,80.6,80.6,True,SYNTHETIC
SYN-RLWY-CHA-PKG-25A,[SYNTHETIC] Chandigarh Multi-Modal Terminal Railway Yard (Pkg 25A),Railways,Chandigarh,Tata Projects,Indian Railways,Ministry of Railways,2018-08-28,1719.7,28.0,45.7,-17.7,1.262,24,0.239,0.377,48.0,1.13,0.829,38.3,59.9,0.407,0.0,101,high_risk,2,91.7,91.7,True,SYNTHETIC
SYN-POWR-AND-PKG-01B,[SYNTHETIC] Andhra Pradesh 800kV HVDC Inter-Regional Dipole Line (Pkg 01B),Power,Andhra Pradesh,KEC International,NTPC,Ministry of Power,2018-08-30,5087.9,33.0,42.4,-9.4,1.223,2,0.419,0.711,59.5,1.23,0.657,28.8,72.6,0.323,0.0,35,moderate,1,87.2,87.2,True,SYNTHETIC
SYN-WATR-PUN-PKG-02C,[SYNTHETIC] Punjab Inter-River Basin Transfer Aqueduct (Pkg 02C),Water,Punjab,Vishwa Infrastructures,Jal Nigam,Ministry of Jal Shakti,2018-08-31,4310.3,76.4,72.6,3.8,1.003,0,0.188,0.405,82.9,1.45,0.683,49.2,58.0,0.279,0.0,22,on_track,0,97.5,97.5,True,SYNTHETIC
SYN-WATR-UTT-PKG-03D,[SYNTHETIC] Uttar Pradesh Lift Irrigation Distribution System (Pkg 03D),Water,Uttar Pradesh,NCC Limited,NWDA,Ministry of Jal Shakti,2018-09-04,2415.2,30.3,46.0,-15.7,1.454,18,0.258,0.539,51.5,0.87,0.609,41.8,71.1,0.288,0.0,178,high_risk,2,81.8,81.8,True,SYNTHETIC
SYN-URBN-KER-PKG-04E,[SYNTHETIC] Kerala Metro Rail Elevated Rapid Transit Line (Pkg 04E),Urban Development,Kerala,Tata Projects,DMRC,Ministry of Housing & Urban Affairs,2018-09-04,4226.9,35.3,33.3,2.0,1.046,0,0.651,0.866,93.6,2.23,0.655,23.3,69.9,0.554,0.0,5,on_track,0,96.4,96.4,True,SYNTHETIC
SYN-HWAY-UTT-PKG-05F,[SYNTHETIC] Uttarakhand Economic Expressway Corridor (Pkg 05F),Highways,Uttarakhand,KNR Constructions,NHIDCL,Ministry of Road Transport and Highways,2018-09-10,2075.6,77.2,83.3,-6.1,1.197,2,0.9,0.825,78.5,1.49,0.681,26.2,55.9,0.413,0.0,66,moderate,1,81.3,81.3,True,SYNTHETIC
SYN-HWAY-MAD-PKG-06G,[SYNTHETIC] Madhya Pradesh 4-Lane Ring Road Bypass (Pkg 06G),Highways,Madhya Pradesh,Tata Projects,State PWD Highways,Ministry of Road Transport and Highways,2018-09-11,3038.1,32.6,58.0,-25.4,1.54,18,0.571,0.513,19.8,0.81,0.641,45.5,67.2,0.463,0.0,439,critical,2,92.6,92.6,True,SYNTHETIC
SYN-RLWY-CHH-PKG-07H,[SYNTHETIC] Chhattisgarh Multi-Modal Terminal Railway Yard (Pkg 07H),Railways,Chhattisgarh,KEC International,IRCON,Ministry of Railways,2018-09-14,1710.4,41.9,59.5,-17.6,1.313,12,0.692,0.591,55.7,0.83,0.824,45.2,74.6,0.361,0.0,120,high_risk,2,76.6,76.6,True,SYNTHETIC
SYN-POWR-GUJ-PKG-08A,[SYNTHETIC] Gujarat Ultra-Mega Solar Park Substation Grid (Pkg 08A),Power,Gujarat,L&T Power Transmission,NEEPCO,Ministry of Power,2018-09-15,4545.7,68.3,78.7,-10.4,1.152,6,0.351,0.616,65.7,1.37,0.745,21.7,65.6,0.358,0.0,32,moderate,1,82.5,82.5,True,SYNTHETIC
SYN-WATR-WES-PKG-09B,[SYNTHETIC] West Bengal Inter-River Basin Transfer Aqueduct (Pkg 09B),Water,West Bengal,Megha Engineering (MEIL),Jal Nigam,Ministry of Jal Shakti,2018-09-17,2947.4,59.0,77.9,-18.9,1.277,6,0.378,0.837,40.0,1.18,0.71,53.3,55.7,0.316,0.0,167,high_risk,2,87.2,87.2,True,SYNTHETIC
SYN-URBN-DAD-PKG-10C,[SYNTHETIC] Dadra & Nagar Haveli and Daman & Diu Multi-Modal Transit Terminal Hub (Pkg 10C),Urban Development,Dadra & Nagar Haveli and Daman & Diu,Reliance Infra - Astaldi JV,BMRCL,Ministry of Housing & Urban Affairs,2018-09-18,4653.8,30.8,47.1,-16.3,1.336,12,0.313,0.609,63.8,0.81,0.506,35.6,71.5,0.567,0.0,137,high_risk,2,89.8,89.8,True,SYNTHETIC
SYN-HWAY-ARU-PKG-11D,[SYNTHETIC] Arunachal Pradesh Multi-Span Elevated Viaduct Stretch (Pkg 11D),Highways,Arunachal Pradesh,Afcons Infrastructure,MoRTH,Ministry of Road Transport and Highways,2018-09-21,5344.9,45.4,50.1,-4.7,1.194,2,0.939,0.922,73.0,1.13,0.609,41.1,71.5,0.426,0.0,85,moderate,1,84.8,84.8,True,SYNTHETIC
SYN-RLWY-GUJ-PKG-12E,[SYNTHETIC] Gujarat Multi-Modal Terminal Railway Yard (Pkg 12E),Railways,Gujarat,L&T Construction,RVNL,Ministry of Railways,2018-09-23,3161.3,32.2,32.7,-0.5,1.024,0,0.366,0.591,84.4,1.71,0.79,64.8,64.2,0.42,0.0,13,on_track,0,93.5,93.5,True,SYNTHETIC
SYN-POWR-TEL-PKG-13F,[SYNTHETIC] Telangana Ultra-Mega Solar Park Substation Grid (Pkg 13F),Power,Telangana,L&T Power Transmission,NHPC,Ministry of Power,2018-09-24,3079.0,49.7,79.3,-29.6,1.702,18,0.374,0.538,42.7,0.77,0.605,29.0,58.5,0.316,0.0,256,critical,2,79.9,79.9,True,SYNTHETIC
SYN-POWR-UTT-PKG-14G,[SYNTHETIC] Uttar Pradesh Gas-Insulated GIS Substation Node (Pkg 14G),Power,Uttar Pradesh,BHEL,SJVN,Ministry of Power,2018-09-24,2578.6,28.6,29.0,-0.4,1.016,0,0.247,0.477,92.8,1.65,0.665,20.5,57.9,0.381,0.0,1,on_track,0,85.5,85.5,True,SYNTHETIC
SYN-WATR-UTT-PKG-15H,[SYNTHETIC] Uttar Pradesh Urban Potable Water Treatment Plant (Pkg 15H),Water,Uttar Pradesh,Patel Engineering,State Water Resource Dept,Ministry of Jal Shakti,2018-09-27,293.8,53.4,66.4,-13.0,1.441,6,0.314,0.555,43.5,0.74,0.707,25.4,69.7,0.288,0.0,145,high_risk,2,84.7,84.7,True,SYNTHETIC
SYN-URBN-HAR-PKG-16A,[SYNTHETIC] Haryana Multi-Modal Transit Terminal Hub (Pkg 16A),Urban Development,Haryana,Afcons Infrastructure,Maha Metro,Ministry of Housing & Urban Affairs,2018-09-27,2613.0,66.2,73.9,-7.7,1.241,2,0.261,0.259,67.5,0.98,0.532,35.2,58.5,0.569,0.0,32,moderate,1,82.8,82.8,True,SYNTHETIC
SYN-TELC-LAD-PKG-17B,[SYNTHETIC] Ladakh BharatNet Phase-III Optical Fiber Grid (Pkg 17B),Telecom,Ladakh,Tejas Networks,USOF (DoT),Ministry of Communications,2018-10-01,977.3,66.6,76.9,-10.3,1.063,12,0.92,0.163,65.3,1.01,0.478,19.0,65.5,0.244,0.0,40,moderate,1,93.3,93.3,True,SYNTHETIC
SYN-HWAY-CHH-PKG-18C,[SYNTHETIC] Chhattisgarh Strategic Border Highway NH-Pass (Pkg 18C),Highways,Chhattisgarh,Ashoka Buildcon,MoRTH,Ministry of Road Transport and Highways,2018-10-03,4607.8,36.9,38.9,-2.0,0.989,2,0.593,0.649,75.8,2.15,0.759,40.6,57.9,0.476,0.0,11,on_track,0,85.7,85.7,True,SYNTHETIC
SYN-RLWY-UTT-PKG-19D,[SYNTHETIC] Uttarakhand Dedicated Freight Corridor Section (Pkg 19D),Railways,Uttarakhand,Siemens Rail India,RVNL,Ministry of Railways,2018-10-04,2866.7,68.3,79.9,-11.6,1.287,18,0.938,0.93,56.8,0.76,0.742,45.7,67.7,0.407,0.0,115,high_risk,2,89.6,89.6,True,SYNTHETIC
SYN-WATR-MAH-PKG-20E,[SYNTHETIC] Maharashtra Inter-River Basin Transfer Aqueduct (Pkg 20E),Water,Maharashtra,Megha Engineering (MEIL),Jal Nigam,Ministry of Jal Shakti,2018-10-08,4995.0,54.6,69.4,-14.8,1.423,18,0.56,0.738,49.7,1.08,0.579,29.9,73.0,0.29,0.0,107,high_risk,2,86.5,86.5,True,SYNTHETIC
SYN-WATR-TEL-PKG-21F,[SYNTHETIC] Telangana Jal Jeevan Mission Bulk Water Pipeline (Pkg 21F),Water,Telangana,Patel Engineering,WAPCOS,Ministry of Jal Shakti,2018-10-17,1126.7,83.4,80.4,3.0,0.985,0,0.358,0.478,81.4,2.22,0.656,41.2,64.8,0.237,0.0,19,on_track,0,86.1,86.1,True,SYNTHETIC
SYN-URBN-GOA-PKG-22G,[SYNTHETIC] Goa Multi-Modal Transit Terminal Hub (Pkg 22G),Urban Development,Goa,Afcons Infrastructure,Maha Metro,Ministry of Housing & Urban Affairs,2018-10-21,1663.1,21.7,53.4,-31.7,1.832,36,0.583,0.779,33.2,0.66,0.762,28.6,63.3,0.622,0.0,430,critical,2,87.8,87.8,True,SYNTHETIC
SYN-HWAY-NAG-PKG-23H,[SYNTHETIC] Nagaland 4-Lane Ring Road Bypass (Pkg 23H),Highways,Nagaland,Ashoka Buildcon,State PWD Highways,Ministry of Road Transport and Highways,2018-10-22,4518.5,51.1,70.3,-19.2,1.423,12,0.889,0.8,36.4,0.97,0.577,52.4,63.3,0.441,0.0,141,high_risk,2,80.6,80.6,True,SYNTHETIC
SYN-RLWY-UTT-PKG-24A,[SYNTHETIC] Uttarakhand Dedicated Freight Corridor Section (Pkg 24A),Railways,Uttarakhand,Tata Projects,DFCCIL,Ministry of Railways,2018-10-25,433.7,21.2,47.8,-26.6,1.956,36,0.952,0.872,27.7,0.86,0.841,61.8,74.9,0.45,0.0,226,critical,2,90.0,90.0,True,SYNTHETIC
SYN-RLWY-MAD-PKG-25B,[SYNTHETIC] Madhya Pradesh Double Track Electrification Package (Pkg 25B),Railways,Madhya Pradesh,L&T Construction,IRCON,Ministry of Railways,2018-10-28,2979.5,39.4,60.5,-21.1,1.683,18,0.443,0.485,31.7,0.64,0.888,37.3,58.9,0.291,0.0,427,critical,2,80.2,80.2,True,SYNTHETIC
SYN-POWR-MAH-PKG-01C,[SYNTHETIC] Maharashtra 765kV Green Energy Transmission Link (Pkg 01C),Power,Maharashtra,BHEL,POWERGRID,Ministry of Power,2018-11-03,1554.8,53.8,67.8,-14.0,1.5,18,0.516,0.7,49.6,0.71,0.684,25.7,69.5,0.327,0.0,141,high_risk,2,81.3,81.3,True,SYNTHETIC
SYN-URBN-ASS-PKG-02D,[SYNTHETIC] Assam Smart City Integrated Command Centre (Pkg 02D),Urban Development,Assam,ITD Cementation,Smart City SPV,Ministry of Housing & Urban Affairs,2018-11-06,4647.9,68.2,78.2,-10.0,1.118,2,0.71,0.97,51.9,1.36,0.499,30.4,73.8,0.56,0.0,67,moderate,1,86.5,86.5,True,SYNTHETIC
SYN-TELC-SIK-PKG-03E,[SYNTHETIC] Sikkim 100Gbps DWDM National Backbone Link (Pkg 03E),Telecom,Sikkim,Tejas Networks,BSNL,Ministry of Communications,2018-11-09,2443.1,25.5,50.0,-24.5,1.816,24,0.971,0.829,30.3,0.8,0.567,20.4,61.7,0.278,0.0,229,critical,2,91.6,91.6,True,SYNTHETIC
SYN-TELC-TEL-PKG-04F,[SYNTHETIC] Telangana 100Gbps DWDM National Backbone Link (Pkg 04F),Telecom,Telangana,ITI Limited,BSNL,Ministry of Communications,2018-11-14,1053.5,40.2,64.3,-24.1,1.416,24,0.36,0.465,29.9,0.68,0.544,14.7,63.4,0.2,0.0,310,critical,2,83.8,83.8,True,SYNTHETIC
SYN-RLWY-NAG-PKG-05G,[SYNTHETIC] Nagaland Double Track Electrification Package (Pkg 05G),Railways,Nagaland,KEC International,RVNL,Ministry of Railways,2018-11-15,5067.5,24.4,37.7,-13.3,1.337,6,0.849,0.783,44.7,1.2,0.721,39.9,65.2,0.362,0.0,174,high_risk,2,88.4,88.4,True,SYNTHETIC
SYN-POWR-NAG-PKG-06H,[SYNTHETIC] Nagaland 800kV HVDC Inter-Regional Dipole Line (Pkg 06H),Power,Nagaland,KEC International,NTPC,Ministry of Power,2018-11-16,1755.5,27.2,40.5,-13.3,1.392,12,0.873,0.829,61.0,0.76,0.683,18.5,73.6,0.335,0.0,166,high_risk,2,84.3,84.3,True,SYNTHETIC
SYN-WATR-TRI-PKG-07A,[SYNTHETIC] Tripura Inter-River Basin Transfer Aqueduct (Pkg 07A),Water,Tripura,Larsen & Toubro Water,NWDA,Ministry of Jal Shakti,2018-11-16,2716.0,50.2,79.2,-29.0,1.645,24,0.785,0.803,25.1,0.91,0.782,50.6,61.8,0.191,0.0,506,critical,2,91.5,91.5,True,SYNTHETIC
SYN-WATR-KAR-PKG-08B,[SYNTHETIC] Karnataka Inter-River Basin Transfer Aqueduct (Pkg 08B),Water,Karnataka,Vishwa Infrastructures,PPA / CWC,Ministry of Jal Shakti,2018-11-21,2720.7,50.9,56.2,-5.3,1.198,2,0.485,0.677,53.5,1.42,0.656,48.9,61.6,0.35,0.0,37,moderate,1,82.3,82.3,True,SYNTHETIC
SYN-URBN-TEL-PKG-09C,[SYNTHETIC] Telangana Underground Metro Boring & Station Pkg (Pkg 09C),Urban Development,Telangana,L&T Construction,UPMRC,Ministry of Housing & Urban Affairs,2018-12-01,1400.5,62.5,70.9,-8.4,1.146,6,0.426,0.446,71.1,1.22,0.555,41.9,70.2,0.617,0.0,51,moderate,1,88.5,88.5,True,SYNTHETIC
SYN-HWAY-TRI-PKG-10D,[SYNTHETIC] Tripura Greenfield Freight Motorway Section (Pkg 10D),Highways,Tripura,Tata Projects,NHAI,Ministry of Road Transport and Highways,2018-12-02,2049.3,51.6,65.8,-14.2,1.359,18,0.802,0.837,60.4,0.97,0.79,46.4,68.1,0.416,0.0,164,high_risk,2,75.8,75.8,True,SYNTHETIC
SYN-HWAY-RAJ-PKG-11E,[SYNTHETIC] Rajasthan Greenfield Freight Motorway Section (Pkg 11E),Highways,Rajasthan,Dilip Buildcon Ltd.,BRO,Ministry of Road Transport and Highways,2018-12-02,772.1,30.0,65.0,-35.0,1.715,24,0.344,0.195,44.3,0.61,0.663,52.4,65.2,0.476,0.0,518,critical,2,85.3,85.3,True,SYNTHETIC
SYN-POWR-LAD-PKG-12F,[SYNTHETIC] Ladakh Run-of-River Hydroelectric Spillway (Pkg 12F),Power,Ladakh,BHEL,SJVN,Ministry of Power,2018-12-02,590.0,27.5,36.2,-8.7,1.23,6,0.95,0.165,54.8,1.06,0.71,22.7,65.7,0.342,0.0,40,moderate,1,88.8,88.8,True,SYNTHETIC
SYN-WATR-DEL-PKG-13G,[SYNTHETIC] Delhi Urban Potable Water Treatment Plant (Pkg 13G),Water,Delhi,Vishwa Infrastructures,State Water Resource Dept,Ministry of Jal Shakti,2018-12-10,276.3,36.4,38.4,-2.0,1.008,0,0.304,0.321,79.6,2.21,0.61,43.3,55.3,0.453,0.0,4,on_track,0,86.2,86.2,True,SYNTHETIC
SYN-URBN-TAM-PKG-14H,[SYNTHETIC] Tamil Nadu Multi-Modal Transit Terminal Hub (Pkg 14H),Urban Development,Tamil Nadu,J. Kumar Infraprojects,BMRCL,Ministry of Housing & Urban Affairs,2018-12-12,5398.6,18.6,48.0,-29.4,1.732,36,0.375,0.639,29.9,0.62,0.614,23.3,65.0,0.486,0.0,388,critical,2,94.6,94.6,True,SYNTHETIC
SYN-URBN-JHA-PKG-15A,[SYNTHETIC] Jharkhand Smart City Integrated Command Centre (Pkg 15A),Urban Development,Jharkhand,Tata Projects,DMRC,Ministry of Housing & Urban Affairs,2018-12-14,3607.4,56.7,69.6,-12.9,1.235,18,0.662,0.613,41.3,1.02,0.531,28.4,60.0,0.459,0.0,140,high_risk,2,87.7,87.7,True,SYNTHETIC
SYN-HWAY-DAD-PKG-16B,[SYNTHETIC] Dadra & Nagar Haveli and Daman & Diu Greenfield Freight Motorway Section (Pkg 16B),Highways,Dadra & Nagar Haveli and Daman & Diu,Afcons Infrastructure,State PWD Highways,Ministry of Road Transport and Highways,2018-12-15,471.3,39.2,65.7,-26.5,1.675,18,0.318,0.627,46.7,0.86,0.706,48.9,73.2,0.4,0.0,413,critical,2,79.8,79.8,True,SYNTHETIC
SYN-RLWY-KER-PKG-17C,[SYNTHETIC] Kerala Mountain Tunnel & Gauge Conversion (Pkg 17C),Railways,Kerala,KEC International,Indian Railways,Ministry of Railways,2018-12-25,3355.9,45.8,50.2,-4.4,1.134,2,0.609,0.931,58.4,1.37,0.742,36.1,65.5,0.349,0.0,49,moderate,1,78.2,78.2,True,SYNTHETIC
SYN-POWR-UTT-PKG-18D,[SYNTHETIC] Uttar Pradesh 765kV Green Energy Transmission Link (Pkg 18D),Power,Uttar Pradesh,Tata Power,NTPC,Ministry of Power,2018-12-26,5121.0,49.7,47.8,1.9,1.039,0,0.239,0.519,94.8,1.4,0.543,19.6,58.4,0.322,0.0,20,on_track,0,85.5,85.5,True,SYNTHETIC
SYN-POWR-BIH-PKG-19E,[SYNTHETIC] Bihar 765kV Green Energy Transmission Link (Pkg 19E),Power,Bihar,L&T Power Transmission,POWERGRID,Ministry of Power,2019-01-02,4883.0,78.2,78.2,0.0,1.025,0,0.281,0.893,80.6,1.52,0.652,31.9,71.3,0.429,0.0,1,on_track,0,96.4,96.4,True,SYNTHETIC
