id,name,sector,state,contractor,implementingAgency,ministry,startDate,sanctioned_cost_cr,physical_progress,planned_progress,progress_diff,expenditure_ratio,land_acq_delay_months,geo_difficulty,monsoon_flood_risk,utility_shifting_progress,contractor_liquidity,metrology_compliance_burden,weighbridge_calibration_gap_days,gatc_test_centre_lead_days,packaged_commodities_audit_risk,jan_vishwas_relief_index,delay_days,status,label
PPA-POLA-DAM-PKG-02D,Polavaram Multipurpose Dam & Spillway (Pkg 2D - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-03-08,3323.2,45.7,66.6,-20.9,1.838,18,0.467,0.67,34.4,2.02,0.732,42.2,64.0,0.312,0.0,439,delayed,2
NHAI-VIZ-CHE-PKG-02E,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 2E - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-03-10,4922.7,27.7,31.3,-3.6,1.035,0,0.438,0.734,81.3,1.47,0.759,55.7,70.9,0.443,0.0,4,on_track,0
SCR-NAD-SKL-PKG-02F,Nadikudi-Srikalahasti New Railway Line (Pkg 2F - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-03-11,2478.8,83.8,90.5,-6.7,1.038,6,0.452,0.718,83.6,1.96,0.714,28.9,67.3,0.399,0.0,5,on_track,0
PPA-POLA-DAM-PKG-03G,Polavaram Multipurpose Dam & Spillway (Pkg 3G - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-03-15,5163.0,45.4,54.3,-8.9,1.109,6,0.346,0.735,30.4,0.81,0.83,48.7,72.4,0.292,0.0,32,at_risk,1
NHAI-VIZ-CHE-PKG-03H,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 3H - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-03-16,470.7,50.0,63.8,-13.8,1.328,0,0.38,0.642,86.2,2.09,0.699,52.7,63.1,0.33,0.0,83,at_risk,1
SCR-NAD-SKL-PKG-03A,Nadikudi-Srikalahasti New Railway Line (Pkg 3A - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-03-18,2642.9,35.7,51.2,-15.5,1.561,12,0.401,0.71,61.8,1.92,0.712,52.0,66.1,0.249,0.0,456,delayed,2
PPA-POLA-DAM-PKG-04B,Polavaram Multipurpose Dam & Spillway (Pkg 4B - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-03-29,1635.4,58.6,66.7,-8.1,1.268,0,0.462,0.818,84.3,1.07,0.707,33.6,64.9,0.243,0.0,62,at_risk,1
NHAI-VIZ-CHE-PKG-04C,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 4C - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-04-07,4041.4,40.3,38.5,1.8,0.947,0,0.428,0.632,95.8,0.78,0.915,49.9,73.6,0.461,0.0,1,on_track,0
SCR-NAD-SKL-PKG-04D,Nadikudi-Srikalahasti New Railway Line (Pkg 4D - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-04-09,3698.7,25.0,37.8,-12.8,1.414,18,0.414,0.727,56.4,2.14,0.585,54.1,56.8,0.392,0.0,484,delayed,2
PPA-POLA-DAM-PKG-05E,Polavaram Multipurpose Dam & Spillway (Pkg 5E - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-04-13,3962.1,50.4,59.2,-8.8,1.135,0,0.396,0.672,39.1,1.7,0.696,33.0,73.9,0.434,0.0,67,at_risk,1
NHAI-VIZ-CHE-PKG-05F,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 5F - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-04-14,4480.5,80.4,86.4,-6.0,1.219,2,0.42,0.71,62.0,0.97,0.819,33.9,62.4,0.431,0.0,39,at_risk,1
SCR-NAD-SKL-PKG-05G,Nadikudi-Srikalahasti New Railway Line (Pkg 5G - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-04-15,2212.2,41.2,48.5,-7.3,1.165,6,0.445,0.737,32.5,1.26,0.826,30.5,73.6,0.408,0.0,84,at_risk,1
PPA-POLA-DAM-PKG-06H,Polavaram Multipurpose Dam & Spillway (Pkg 6H - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-04-18,5106.9,38.9,41.0,-2.1,0.98,0,0.385,0.609,37.8,1.45,0.662,54.5,60.4,0.24,0.0,16,on_track,0
NHAI-VIZ-CHE-PKG-06A,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 6A - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-04-18,3484.5,38.5,37.8,0.7,1.047,0,0.438,0.711,57.8,1.83,0.749,30.4,64.1,0.423,0.0,11,on_track,0
SCR-NAD-SKL-PKG-06B,Nadikudi-Srikalahasti New Railway Line (Pkg 6B - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-04-19,4196.4,77.4,82.6,-5.2,1.133,0,0.406,0.651,50.5,1.85,0.859,39.8,65.4,0.319,0.0,38,at_risk,1
PPA-POLA-DAM-PKG-07C,Polavaram Multipurpose Dam & Spillway (Pkg 7C - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-04-19,2547.6,73.0,88.2,-15.2,1.488,18,0.404,0.695,72.2,1.38,0.725,48.3,56.2,0.309,0.0,209,delayed,2
NHAI-VIZ-CHE-PKG-07D,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 7D - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-04-22,909.8,90.0,93.1,-3.1,1.224,0,0.412,0.647,43.7,0.87,0.631,48.3,67.4,0.465,0.0,77,at_risk,1
SCR-NAD-SKL-PKG-07E,Nadikudi-Srikalahasti New Railway Line (Pkg 7E - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-04-22,3349.1,35.0,50.4,-15.4,1.198,2,0.379,0.742,34.2,1.72,0.708,64.3,68.8,0.306,0.0,86,at_risk,1
PPA-POLA-DAM-PKG-08F,Polavaram Multipurpose Dam & Spillway (Pkg 8F - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-04-22,3556.5,50.3,64.0,-13.7,1.21,0,0.501,0.68,49.2,1.9,0.635,43.6,64.2,0.295,0.0,74,at_risk,1
NHAI-VIZ-CHE-PKG-08G,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 8G - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-04-22,4199.3,37.4,47.5,-10.1,1.018,6,0.448,0.561,37.6,1.64,0.768,35.2,65.0,0.452,0.0,42,at_risk,1
SCR-NAD-SKL-PKG-08H,Nadikudi-Srikalahasti New Railway Line (Pkg 8H - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-04-25,4969.3,37.6,43.6,-6.0,1.107,6,0.391,0.688,98.7,0.94,0.814,63.3,70.9,0.401,0.0,38,at_risk,1
PPA-POLA-DAM-PKG-09A,Polavaram Multipurpose Dam & Spillway (Pkg 9A - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-04-29,3174.9,36.2,50.8,-14.6,1.277,12,0.462,0.668,97.2,1.83,0.556,45.7,72.1,0.328,0.0,246,delayed,2
NHAI-VIZ-CHE-PKG-09B,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 9B - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-04-29,4327.0,42.5,53.6,-11.1,1.5,12,0.392,0.626,81.0,0.8,0.888,22.0,63.6,0.435,0.0,86,at_risk,1
SCR-NAD-SKL-PKG-09C,Nadikudi-Srikalahasti New Railway Line (Pkg 9C - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-04-29,3440.4,82.9,88.3,-5.4,1.058,0,0.361,0.793,32.3,0.74,0.755,36.8,63.9,0.475,0.0,17,on_track,0
PPA-POLA-DAM-PKG-10D,Polavaram Multipurpose Dam & Spillway (Pkg 10D - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-04-30,5006.0,70.2,72.4,-2.2,1.451,0,0.421,0.632,32.7,0.71,0.557,55.7,58.5,0.419,0.0,372,delayed,2
NHAI-VIZ-CHE-PKG-10E,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 10E - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-01,4993.3,35.5,46.2,-10.7,1.077,12,0.427,0.724,58.1,1.83,0.708,52.1,71.5,0.365,0.0,38,at_risk,1
SCR-NAD-SKL-PKG-10F,Nadikudi-Srikalahasti New Railway Line (Pkg 10F - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-01,1723.5,24.5,49.6,-25.1,1.649,0,0.405,0.702,34.8,2.11,0.815,42.4,65.1,0.424,0.0,114,delayed,2
PPA-POLA-DAM-PKG-11G,Polavaram Multipurpose Dam & Spillway (Pkg 11G - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-01,3215.0,75.2,77.2,-2.0,1.096,0,0.401,0.534,50.3,2.09,0.78,43.6,62.8,0.445,0.0,84,at_risk,1
NHAI-VIZ-CHE-PKG-11H,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 11H - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-02,3088.3,39.7,35.4,4.3,0.862,0,0.397,0.651,60.6,2.02,0.809,27.7,56.0,0.396,0.0,12,on_track,0
SCR-NAD-SKL-PKG-11A,Nadikudi-Srikalahasti New Railway Line (Pkg 11A - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-04,386.3,24.7,38.7,-14.0,1.0,12,0.393,0.74,42.7,1.22,0.702,59.1,73.0,0.488,0.0,79,at_risk,1
PPA-POLA-DAM-PKG-12B,Polavaram Multipurpose Dam & Spillway (Pkg 12B - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-04,809.9,37.5,54.1,-16.6,1.111,0,0.425,0.593,74.0,1.4,0.606,58.9,62.2,0.32,0.0,281,delayed,2
NHAI-VIZ-CHE-PKG-12C,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 12C - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-05,2786.7,35.8,38.5,-2.7,0.963,2,0.426,0.734,94.5,1.73,0.8,51.2,69.6,0.5,0.0,28,on_track,0
SCR-NAD-SKL-PKG-12D,Nadikudi-Srikalahasti New Railway Line (Pkg 12D - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-05,1790.1,47.5,48.5,-1.0,0.976,0,0.382,0.703,83.5,1.69,0.765,48.3,63.7,0.282,0.0,3,on_track,0
PPA-POLA-DAM-PKG-13E,Polavaram Multipurpose Dam & Spillway (Pkg 13E - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-06,1558.5,45.7,52.0,-6.3,1.15,6,0.417,0.604,87.2,1.5,0.651,24.8,74.3,0.409,0.0,36,at_risk,1
NHAI-VIZ-CHE-PKG-13F,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 13F - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-08,2825.4,53.9,53.2,0.7,1.006,6,0.443,0.731,52.2,1.92,0.754,23.5,65.0,0.439,0.0,7,on_track,0
SCR-NAD-SKL-PKG-13G,Nadikudi-Srikalahasti New Railway Line (Pkg 13G - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-10,2231.0,35.5,38.6,-3.1,1.017,0,0.394,0.63,73.5,1.17,0.692,42.2,69.7,0.368,0.0,18,on_track,0
PPA-POLA-DAM-PKG-14H,Polavaram Multipurpose Dam & Spillway (Pkg 14H - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-10,1362.2,19.3,39.5,-20.2,1.443,36,0.4,0.617,84.9,1.79,0.718,52.5,57.3,0.38,0.0,292,delayed,2
NHAI-VIZ-CHE-PKG-14A,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 14A - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-10,3378.9,50.4,57.7,-7.3,1.187,2,0.383,0.725,54.3,1.27,0.803,28.2,60.3,0.345,0.0,54,at_risk,1
SCR-NAD-SKL-PKG-14B,Nadikudi-Srikalahasti New Railway Line (Pkg 14B - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-12,2063.7,37.7,49.9,-12.2,1.604,0,0.391,0.689,96.6,1.11,0.9,50.4,56.8,0.475,0.0,138,delayed,2
PPA-POLA-DAM-PKG-15C,Polavaram Multipurpose Dam & Spillway (Pkg 15C - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-13,4856.5,29.6,37.6,-8.0,1.154,0,0.521,0.788,95.7,0.66,0.602,46.6,70.4,0.27,0.0,31,at_risk,1
NHAI-VIZ-CHE-PKG-15D,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 15D - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-16,3185.8,42.3,63.1,-20.8,1.536,24,0.407,0.599,57.9,1.95,0.718,44.5,58.8,0.44,0.0,217,delayed,2
SCR-NAD-SKL-PKG-15E,Nadikudi-Srikalahasti New Railway Line (Pkg 15E - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-18,4970.2,29.8,46.5,-16.7,1.442,2,0.432,0.683,99.7,1.01,0.888,53.4,65.9,0.343,0.0,129,delayed,2
PPA-POLA-DAM-PKG-16F,Polavaram Multipurpose Dam & Spillway (Pkg 16F - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-18,1460.7,20.4,36.1,-15.7,1.188,0,0.389,0.645,47.3,0.75,0.809,50.6,64.2,0.36,0.0,365,delayed,2
NHAI-VIZ-CHE-PKG-16G,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 16G - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-20,1615.7,58.3,74.2,-15.9,1.208,2,0.418,0.656,47.7,2.18,0.826,48.0,60.8,0.367,0.0,73,at_risk,1
SCR-NAD-SKL-PKG-16H,Nadikudi-Srikalahasti New Railway Line (Pkg 16H - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-22,3353.0,69.7,93.0,-23.3,1.417,6,0.452,0.667,85.1,1.35,0.732,35.6,67.6,0.503,0.0,127,delayed,2
PPA-POLA-DAM-PKG-17A,Polavaram Multipurpose Dam & Spillway (Pkg 17A - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-22,696.1,78.1,92.0,-13.9,1.261,2,0.476,0.755,44.1,1.56,0.68,40.6,63.2,0.359,0.0,68,at_risk,1
NHAI-VIZ-CHE-PKG-17B,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 17B - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-27,4170.1,84.9,90.0,-5.1,1.15,0,0.409,0.666,43.0,1.68,0.664,49.5,72.6,0.47,0.0,27,on_track,0
SCR-NAD-SKL-PKG-17C,Nadikudi-Srikalahasti New Railway Line (Pkg 17C - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-27,4383.0,48.3,62.4,-14.1,1.481,0,0.341,0.723,91.1,1.93,0.711,59.2,59.3,0.434,0.0,267,delayed,2
PPA-POLA-DAM-PKG-18D,Polavaram Multipurpose Dam & Spillway (Pkg 18D - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-05-28,5150.5,55.0,80.5,-25.5,1.109,2,0.463,0.573,43.6,1.98,0.714,54.6,68.5,0.336,0.0,375,delayed,2
NHAI-VIZ-CHE-PKG-18E,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 18E - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-05-28,2924.9,63.6,75.0,-11.4,1.054,2,0.377,0.642,60.1,1.8,0.838,39.6,72.3,0.409,0.0,84,at_risk,1
SCR-NAD-SKL-PKG-18F,Nadikudi-Srikalahasti New Railway Line (Pkg 18F - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-05-30,3155.6,57.7,63.9,-6.2,1.021,2,0.411,0.665,72.5,1.03,0.721,41.6,56.2,0.358,0.0,39,at_risk,1
PPA-POLA-DAM-PKG-19G,Polavaram Multipurpose Dam & Spillway (Pkg 19G - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-06-01,2387.0,44.6,63.4,-18.8,1.789,6,0.345,0.774,42.0,1.43,0.711,55.9,63.2,0.333,0.0,295,delayed,2
NHAI-VIZ-CHE-PKG-19H,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 19H - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-06-03,2071.5,64.7,77.8,-13.1,1.805,36,0.416,0.716,65.9,0.83,0.763,44.8,70.3,0.53,0.0,477,delayed,2
SCR-NAD-SKL-PKG-19A,Nadikudi-Srikalahasti New Railway Line (Pkg 19A - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-06-05,1413.3,23.5,40.3,-16.8,1.191,0,0.458,0.625,80.6,1.48,0.847,59.7,71.7,0.397,0.0,525,delayed,2
PPA-POLA-DAM-PKG-20B,Polavaram Multipurpose Dam & Spillway (Pkg 20B - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-06-05,4616.6,24.1,39.7,-15.6,1.383,2,0.473,0.682,63.9,0.67,0.573,47.4,63.2,0.295,0.0,206,delayed,2
NHAI-VIZ-CHE-PKG-20C,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 20C - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-06-06,2752.4,78.6,82.9,-4.3,1.117,2,0.428,0.74,99.8,1.52,0.681,28.7,61.4,0.375,0.0,26,on_track,0
SCR-NAD-SKL-PKG-20D,Nadikudi-Srikalahasti New Railway Line (Pkg 20D - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-06-07,3842.3,33.6,44.4,-10.8,1.32,0,0.402,0.674,95.1,1.24,0.896,60.6,71.6,0.317,0.0,39,at_risk,1
PPA-POLA-DAM-PKG-21E,Polavaram Multipurpose Dam & Spillway (Pkg 21E - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-06-09,5116.3,75.6,88.7,-13.1,1.145,2,0.437,0.718,39.8,1.69,0.73,51.0,67.4,0.273,0.0,58,at_risk,1
NHAI-VIZ-CHE-PKG-21F,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 21F - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-06-10,3195.6,72.1,68.8,3.3,0.913,2,0.446,0.607,84.2,1.97,0.66,47.5,65.8,0.348,0.0,7,on_track,0
SCR-NAD-SKL-PKG-21G,Nadikudi-Srikalahasti New Railway Line (Pkg 21G - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-06-10,1561.6,34.0,53.0,-19.0,1.567,18,0.389,0.661,65.5,0.94,0.668,54.4,56.5,0.469,0.0,236,delayed,2
PPA-POLA-DAM-PKG-22H,Polavaram Multipurpose Dam & Spillway (Pkg 22H - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-06-13,761.9,34.7,50.1,-15.4,1.647,6,0.485,0.801,82.4,1.0,0.539,54.2,65.6,0.282,0.0,164,delayed,2
NHAI-VIZ-CHE-PKG-22A,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 22A - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-06-17,3926.3,37.4,37.7,-0.3,1.038,0,0.441,0.716,36.2,1.73,0.781,36.1,62.4,0.471,0.0,23,on_track,0
SCR-NAD-SKL-PKG-22B,Nadikudi-Srikalahasti New Railway Line (Pkg 22B - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-06-19,3170.7,49.2,75.0,-25.8,1.317,2,0.366,0.664,81.5,1.33,0.84,29.2,68.3,0.435,0.0,490,delayed,2
PPA-POLA-DAM-PKG-23C,Polavaram Multipurpose Dam & Spillway (Pkg 23C - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-06-19,570.6,25.8,44.1,-18.3,1.303,12,0.41,0.678,69.6,1.13,0.669,31.6,68.1,0.38,0.0,506,delayed,2
NHAI-VIZ-CHE-PKG-23D,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 23D - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-06-20,783.6,26.3,33.6,-7.3,1.159,2,0.35,0.604,34.9,1.64,0.739,44.7,69.7,0.386,0.0,41,at_risk,1
SCR-NAD-SKL-PKG-23E,Nadikudi-Srikalahasti New Railway Line (Pkg 23E - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-06-23,3787.2,18.8,40.0,-21.2,1.649,36,0.442,0.606,98.7,1.66,0.791,55.2,71.1,0.364,0.0,485,delayed,2
PPA-POLA-DAM-PKG-24F,Polavaram Multipurpose Dam & Spillway (Pkg 24F - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-06-25,2194.3,71.4,74.1,-2.7,1.159,0,0.428,0.713,75.1,2.16,0.74,43.9,56.4,0.336,0.0,21,on_track,0
NHAI-VIZ-CHE-PKG-24G,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 24G - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-06-26,2180.2,30.9,48.1,-17.2,1.635,0,0.399,0.663,84.5,1.6,0.747,50.3,69.0,0.391,0.0,184,delayed,2
